C,Bb,Eb,F,G
Bb7(b9),Ab7(b9),Db7(b9),Eb7(b9),F7(b9)
G7(#9),F7(#9),Bb7(#9),C7(#9),D7(#9)
AbMaj7(#11)(#9),GbMaj7(#11)(#9),CbMaj7(#11)(#9),DbMaj7(#11)(#9),EbMaj7(#11)(#9)
CbdimMaj7,AdimMaj7,DdimMaj7,EdimMaj7,GbdimMaj7
Ddim7(b13),Cdim7(b13),Fdim7(b13),Gdim7(b13),Adim7(b13)
Ab-,Gb-,Cb-,Db-,Eb-
Ab-(add2),Gb-(add2),Cb-(add2),Db-(add2),Eb-(add2)
Ab-6,Gb-6,Cb-6,Db-6,Eb-6
Ab-6(9),Gb-6(9),Cb-6(9),Db-6(9),Eb-6(9)
Ab-Maj7,Gb-Maj7,Cb-Maj7,Db-Maj7,Eb-Maj7
Ab-Maj9,Gb-Maj9,Cb-Maj9,Db-Maj9,Eb-Maj9
Bb13sus(b9),Ab13sus(b9),Db13sus(b9),Eb13sus(b9),F13sus(b9)
Bb13sus(b9)(add3),Ab13sus(b9)(add3),Db13sus(b9)(add3),Eb13sus(b9)(add3),F13sus(b9)(add3)
Bb7sus(b9),Ab7sus(b9),Db7sus(b9),Eb7sus(b9),F7sus(b9)
Bbsus4(addb2),Absus4(addb2),Dbsus4(addb2),Ebsus4(addb2),Fsus4(addb2)
F-11(9)(b5),Eb-11(9)(b5),Ab-11(9)(b5),Bb-11(9)(b5),C-11(9)(b5)
F-11(b5),Eb-11(b5),Ab-11(b5),Bb-11(b5),C-11(b5)
F-13(9)(b5),Eb-13(9)(b5),Ab-13(9)(b5),Bb-13(9)(b5),C-13(9)(b5)
F-7(b5),Eb-7(b5),Ab-7(b5),Bb-7(b5),C-7(b5)
F-9(b5),Eb-9(b5),Ab-9(b5),Bb-9(b5),C-9(b5)
Fdim11,Ebdim11,Abdim11,Bbdim11,Cdim11
Ab-(add2)/B,Gb-(add2)/A,Cb-(add2)/D,Db-(add2)/E,Eb-(add2)/F#
Ab-/B,Gb-/A,Cb-/D,Db-/Fb,Eb-/Gb
Db13(#11)(9),Cb13(#11)(9),Fb13(#11)(9),Gb13(#11)(9),Ab13(#11)(9)
Db7,Cb7,Fb7,Gb7,Ab7
Db9,Cb9,Fb9,Gb9,Ab9
Db9(#11),Cb9(#11),Fb9(#11),Gb9(#11),Ab9(#11)
Eb(addb6),Db(addb6),Gb(addb6),Ab(addb6),Bb(addb6)
Eb(b6)(9),Db(b6)(9),Gb(b6)(9),Ab(b6)(9),Bb(b6)(9)
Eb7(addb6),Db7(addb6),Gb7(addb6),Ab7(addb6),Bb7(addb6)
Eb9(addb6),Db9(addb6),Gb9(addb6),Ab9(addb6),Bb9(addb6)
EbMaj7(b13),DbMaj7(b13),GbMaj7(b13),AbMaj7(b13),BbMaj7(b13)
G7(#9)(#5),F7(#9)(#5),Bb7(#9)(#5),C7(#9)(#5),D7(#9)(#5)
G7(#9)(b5),F7(#9)(b5),Bb7(#9)(b5),C7(#9)(b5),D7(#9)(b5)
